candidate_id,enrollment_status,triage,clean_approval,stored_sha256,live_sha256,fingerprint_match,disk,eligible,skipped,solr,match,missing,stale,other,detail
"1180000","pending","ModerateDrift","no","e828d0afffd1c1d1888636335d7b39548ce094bf3dc7c0845672249e90b4d81e","e828d0afffd1c1d1888636335d7b39548ce094bf3dc7c0845672249e90b4d81e","true",4,4,0,4,0,4,4,0,"Moderate live drift. Do not clean-approve; inspect missing/stale actions before any enrollment decision."
"1180001","approved","Approved","no","3a5d414e5bf4758be1341165195522289a4d0d09f7859a3bbb4e97f9567d1a8d","","",1,1,0,1,1,0,0,0,"Already approved; Step 16 clean-pending approval is not applicable."
"1180002","pending","SmallDrift","no","ef90d3070c7f9410920f753a957ed08d42ad7a6626b20d7dc0e29cc510346617","ef90d3070c7f9410920f753a957ed08d42ad7a6626b20d7dc0e29cc510346617","true",1,1,0,1,0,1,1,0,"Small live missing/stale set. Do not clean-approve; review reconciliation evidence individually."
"1180003","pending","SmallDrift","no","2744ec81b3fcad34f012ee5ed5fc11dc06c64ad05b780fdf3ba969c5b0755214","2744ec81b3fcad34f012ee5ed5fc11dc06c64ad05b780fdf3ba969c5b0755214","true",2,2,0,2,0,2,2,0,"Small live missing/stale set. Do not clean-approve; review reconciliation evidence individually."
"1180004","pending","ModerateDrift","no","7f13d217a09c4738e7bfea885a6d44ba9d898d7de1c05d887fc630008f85a583","7f13d217a09c4738e7bfea885a6d44ba9d898d7de1c05d887fc630008f85a583","true",1,1,0,5,0,1,5,0,"Moderate live drift. Do not clean-approve; inspect missing/stale actions before any enrollment decision."
"1180005","pending","SmallDrift","no","954da7c130817006b0b8fc6f6d5152466acff45e1ebf98456da5622496834f7a","954da7c130817006b0b8fc6f6d5152466acff45e1ebf98456da5622496834f7a","true",1,1,0,3,0,1,3,0,"Small live missing/stale set. Do not clean-approve; review reconciliation evidence individually."
"1180006","pending","SmallDrift","no","60c77450a7b9865f1c3fad5d8068484f04ff3476beb67525dcc6ee69e1a2fdea","60c77450a7b9865f1c3fad5d8068484f04ff3476beb67525dcc6ee69e1a2fdea","true",2,2,0,2,0,2,2,0,"Small live missing/stale set. Do not clean-approve; review reconciliation evidence individually."
"1180007","pending","SmallDrift","no","5ac50004d77efb37916938743a8313cdb0f995689c4142cd2e0b1fcc35abe3c3","5ac50004d77efb37916938743a8313cdb0f995689c4142cd2e0b1fcc35abe3c3","true",1,1,0,1,0,1,1,0,"Small live missing/stale set. Do not clean-approve; review reconciliation evidence individually."
"1180008","pending","HighDrift","no","4e6062f8bb9d26b7c68c8b6745de9525ebb7c43bb006f8bb9e15d8b9d1e5ed87","4e6062f8bb9d26b7c68c8b6745de9525ebb7c43bb006f8bb9e15d8b9d1e5ed87","true",13,6,7,161,3,3,158,0,"High historical/live drift. Keep gated and investigate separately before enrollment."
"1180009","pending","SmallDrift","no","fd598f1d8c90fb526f851b2f684287558ccb22d77a8cde312d0c6ffb4fb24a19","fd598f1d8c90fb526f851b2f684287558ccb22d77a8cde312d0c6ffb4fb24a19","true",1,1,0,1,0,1,1,0,"Small live missing/stale set. Do not clean-approve; review reconciliation evidence individually."
"1180010","pending","ModerateDrift","no","2b5d397333ae2a55dca4712583ce2d69fc5591cd7c1e7ce45bbc91fcd9057771","2b5d397333ae2a55dca4712583ce2d69fc5591cd7c1e7ce45bbc91fcd9057771","true",3,3,0,6,2,1,4,0,"Moderate live drift. Do not clean-approve; inspect missing/stale actions before any enrollment decision."
